               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.019134,            0.012815,          0.00053129,             0.86322,                0.76,             0.85726,             0.49402,            0.021303,           0.0062131,          0.00047832,           0.0065102,           0.0065102,           0.0065102
                 143,            0.024682,            0.013095,          0.00050273,             0.86897,             0.79586,             0.85981,             0.52106,            0.020376,           0.0060877,          0.00046592,           0.0064855,           0.0064855,           0.0064855
                 144,             0.02151,            0.012141,          0.00052253,             0.79624,                 0.8,             0.81319,             0.51748,            0.021014,           0.0061484,          0.00046434,           0.0064608,           0.0064608,           0.0064608
                 145,             0.02252,            0.012513,          0.00051336,             0.79671,                 0.8,             0.80914,              0.5181,             0.02244,           0.0060758,          0.00050406,            0.006436,            0.006436,            0.006436
                 146,              0.0195,            0.011164,          0.00050386,             0.86201,                0.84,             0.83808,             0.51221,            0.022412,           0.0058758,          0.00050673,           0.0064112,           0.0064112,           0.0064112
                 147,            0.019774,            0.015505,          0.00053298,             0.94263,                0.76,             0.86627,             0.56085,            0.022594,            0.005909,          0.00050812,           0.0063865,           0.0063865,           0.0063865
                 148,            0.020468,            0.010887,          0.00039947,              0.9653,                0.74,              0.8688,             0.52592,            0.024134,            0.006154,          0.00050302,           0.0063618,           0.0063618,           0.0063618
                 149,            0.018512,            0.011494,          0.00041043,             0.90861,             0.79549,             0.85554,             0.50671,            0.023458,           0.0065582,          0.00051885,            0.006337,            0.006337,            0.006337
                 150,            0.020149,            0.011966,          0.00041172,             0.94324,                0.76,             0.82303,             0.47846,            0.023789,           0.0069648,          0.00051436,           0.0063122,           0.0063122,           0.0063122
                 151,            0.025397,            0.012181,          0.00048045,             0.90202,             0.73656,             0.79746,             0.46343,            0.023218,           0.0075799,           0.0004931,           0.0062875,           0.0062875,           0.0062875
                 152,            0.024188,            0.011607,          0.00058192,             0.87038,                0.76,             0.79093,             0.42368,            0.023577,           0.0071878,          0.00047445,           0.0062628,           0.0062628,           0.0062628
                 153,            0.019598,             0.01112,          0.00044503,             0.91089,             0.81783,             0.84355,             0.50088,            0.025055,           0.0065626,          0.00048766,            0.006238,            0.006238,            0.006238
